1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
1;16;18;16;5;35;1;6;0;8;4;5;5;6;1;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2;1;1;4;4;9;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;1;2;1;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4;7;15;26;7;25;3;12;0;8;5;3;4;7;2;4;4;0;0;0;1;1;0;0;1;0;0;0;0;0;0
5;3;8;4;4;9;2;5;1;1;1;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;5;2;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;3;11;9;5;18;1;4;0;4;1;1;3;3;0;1;2;0;0;0;2;1;0;0;0;0;0;0;0;1;1
8;7;6;5;3;15;2;2;0;4;0;0;1;2;0;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0
9;9;2;0;1;7;1;3;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10;6;3;7;2;10;1;2;0;0;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
11;3;3;3;1;5;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;9;22;16;7;32;1;9;0;6;3;1;1;3;3;1;1;0;0;0;1;0;2;0;0;0;0;1;0;0;0
13;2;0;1;2;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;5;6;3;1;10;1;3;0;1;1;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
15;0;0;1;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
16;3;4;3;1;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;3;3;5;1;7;0;0;0;2;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
18;5;7;7;3;13;0;5;0;4;0;0;1;1;4;1;4;0;0;0;3;0;0;0;0;1;0;0;0;0;0
19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;2;8;10;2;10;0;7;0;0;2;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;4;5;11;1;10;2;3;0;1;1;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;4;4;1;2;0;0;0;0;1;0;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;1;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;3;1;2;3;5;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
