1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1;10;1;0;1;0;3;4;0;2;2;4;1;0;0;1;1;0;0;0;0;0
2;86;20;1;22;1;25;36;7;5;17;18;7;3;6;3;0;1;1;1;1;1
3;62;12;0;13;0;5;23;3;5;15;10;7;4;2;1;0;2;0;0;0;0
4;6;3;0;1;0;3;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0
5;5;3;0;2;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
