1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;15;1;31;2;3;2;0;0;1;0;0;0;0;0;0
2;34;12;64;10;11;8;1;1;0;0;0;1;0;0;1
3;6;1;22;1;2;1;0;0;0;0;0;0;0;0;0
4;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0
5;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0
6;18;9;67;6;3;5;0;0;0;0;1;0;0;1;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
8;2;0;12;0;1;0;1;0;0;0;0;0;0;0;0
9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10;9;2;28;6;3;0;1;0;0;0;0;0;0;0;0
11;2;0;15;0;0;2;0;0;0;1;0;0;1;0;0
12;1;1;12;2;1;1;0;0;0;0;0;0;0;0;0
13;0;1;7;2;1;3;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
22;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
23;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
