1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
1;1;4;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;15;28;6;5;1;35;11;4;0;0;1;1;5;0;4;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;122;347;137;71;29;308;137;49;25;6;7;5;73;3;54;23;10;5;11;7;1;12;4;4;0;1;2;1;3;4;0;4;0;2;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;1;0;0
4;79;210;83;38;16;196;103;42;14;6;7;2;50;5;28;12;8;8;12;6;0;8;1;4;0;0;3;0;2;0;0;5;0;3;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0
5;1;5;2;1;0;6;4;3;1;0;0;0;2;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;40;111;38;24;3;99;53;14;10;2;0;0;22;1;18;6;3;7;2;1;1;4;2;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
7;1;5;1;1;1;9;2;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;28;70;15;17;5;53;28;10;1;2;3;1;15;3;17;5;5;3;1;1;0;2;0;1;1;0;1;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
9;10;27;13;6;0;13;9;2;2;0;2;2;5;0;5;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;15;52;20;7;3;42;25;8;3;0;0;0;5;2;5;1;1;2;0;1;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
