1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122
1;175;187;5;15;76;2;2;15;0;0;22;3;19;1;2;8;0;41;0;1;1;0;0;2;8;4;0;0;1;3;4;2;0;9;1;3;2;0;0;2;11;1;0;2;1;0;1;0;1;0;2;1;1;0;0;4;0;1;0;2;1;2;1;0;2;1;0;6;2;0;0;4;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1
2;20;19;3;1;8;0;0;2;0;0;2;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;161;189;5;25;74;1;3;8;1;1;16;1;11;0;2;7;1;35;0;1;4;0;4;9;8;1;0;0;0;4;6;4;0;9;1;4;3;0;0;2;10;0;0;1;4;1;1;1;0;0;1;0;1;0;0;2;1;1;1;0;2;0;2;0;2;1;1;2;1;0;0;2;1;0;0;0;0;0;0;2;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
4;3;9;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;55;71;4;1;23;0;2;1;0;0;6;1;3;0;0;5;0;15;0;0;0;0;0;1;2;2;0;0;0;0;1;3;0;2;0;2;0;0;0;2;6;0;0;1;0;0;1;1;2;1;0;3;0;0;0;0;1;0;0;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
6;15;27;0;1;11;0;0;1;0;1;4;0;1;0;0;0;0;4;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;33;44;2;4;11;1;2;1;0;0;4;0;1;1;1;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
8;5;6;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;84;76;5;5;37;2;0;5;1;0;6;0;3;0;0;4;1;14;0;1;2;0;0;0;4;1;1;0;1;3;3;0;1;3;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;2;0;1;0;0;0;0;0;1;0;1;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10;9;8;2;1;5;0;0;0;0;0;1;0;2;0;0;2;0;3;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;1;0;1;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
