1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88
1;40;14;10;11;33;28;11;6;17;13;12;11;7;0;18;4;4;3;2;0;0;1;0;0;0;7;0;0;1;1;2;0;0;2;1;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
2;34;13;19;7;16;17;13;6;5;8;11;6;7;0;14;4;1;0;2;0;0;5;0;0;0;3;0;0;0;1;3;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
3;38;8;11;9;19;24;8;3;14;4;6;12;2;0;14;1;2;4;3;0;0;3;0;0;0;2;2;0;1;1;2;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4;5;5;2;4;4;4;1;4;0;2;0;1;0;0;5;2;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
5;19;12;12;5;24;18;10;1;5;1;7;6;1;0;11;4;2;2;2;1;0;2;0;0;0;1;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;41;9;23;9;29;19;10;4;13;12;11;7;2;1;23;6;5;7;2;0;0;6;0;1;0;4;0;0;1;0;1;1;1;3;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;87;15;42;19;59;48;17;14;36;10;21;23;7;1;28;8;1;9;3;0;0;9;0;1;0;10;2;0;2;0;5;0;0;0;0;1;0;0;1;0;3;3;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;88;32;55;23;61;90;31;14;36;17;34;18;9;1;45;12;2;10;5;0;1;9;0;1;1;15;2;0;3;3;6;1;1;11;0;1;0;2;0;0;5;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9;1;1;2;2;3;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;6;3;5;1;7;5;0;2;3;1;1;0;0;0;1;0;0;1;1;0;0;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
