1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74
1;13;1;11;6;23;13;16;1;16;9;8;5;5;8;0;4;8;0;2;2;0;1;0;1;0;1;0;3;0;0;2;2;0;3;1;0;4;0;0;1;1;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
2;4;7;11;7;23;22;15;3;26;11;8;3;1;6;0;4;3;1;2;2;2;0;0;0;0;1;0;7;0;1;3;4;0;6;1;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0
3;21;7;30;19;41;27;32;0;34;24;10;7;3;22;1;6;11;0;0;3;1;0;0;6;0;2;0;8;1;1;5;2;0;3;0;1;3;1;0;0;0;0;0;2;1;1;0;0;2;1;0;0;2;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0
4;4;1;1;1;8;4;8;0;2;4;1;1;0;4;0;2;4;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;0;0;1;2;2;6;0;0;2;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;19;10;9;11;23;25;21;1;26;15;5;1;2;17;0;5;6;0;2;0;5;0;0;4;0;1;2;7;1;1;1;2;0;6;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;3;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
7;4;1;1;1;8;3;5;0;6;4;1;1;1;2;0;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;1;0;1;0;2;1;1;3;1;1;0;0;4;0;1;0;0;0;0;1;0;0;0;0;1;1;2;0;0;1;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;1;2;2;3;1;4;0;3;0;0;0;0;3;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;5;1;3;3;7;3;1;0;10;3;4;1;3;6;0;1;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
