1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
1;7;7;10;6;3;7;4;10;4;0;3;5;24;18;4;1;1;5;0;7;6;2;12;5;0;1;19;3;2;1;2;11;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
2;3;3;3;0;3;6;0;1;5;1;0;2;4;8;3;0;1;3;0;1;0;0;2;1;0;0;5;1;0;0;1;4;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;3;6;7;5;1;5;4;3;1;0;1;0;9;3;2;2;0;3;0;2;2;0;4;2;0;1;4;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4;3;5;9;6;6;6;2;5;12;0;1;1;18;10;6;0;0;8;0;4;6;1;4;7;0;0;8;2;0;0;5;7;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
5;1;2;3;0;2;3;0;0;0;0;0;0;8;3;0;0;0;2;0;1;1;0;2;1;0;1;2;1;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;4;5;3;4;3;6;2;4;4;0;2;1;12;11;2;0;1;2;0;5;3;0;6;4;0;0;4;0;0;1;1;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;6;5;8;12;5;8;8;7;10;1;5;1;23;9;4;1;0;9;1;1;2;1;3;6;0;1;10;2;0;2;2;8;1;0;0;1;1;1;0;1;1;0;2;0;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
8;5;8;7;4;4;8;5;3;8;0;3;0;26;12;6;1;0;5;0;5;3;2;8;2;0;0;9;2;0;3;2;7;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
9;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2;1;1;2;1;3;1;1;4;0;0;1;3;5;2;0;0;2;1;1;3;0;4;0;0;2;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
