1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;5;7;74;56;18;18;20;0;0;1;1;0;0;0;1
2;0;0;18;9;2;3;1;0;0;0;0;1;0;1;0
3;2;4;43;28;8;5;8;0;0;0;0;0;0;0;0
4;0;0;14;9;3;2;1;0;0;0;0;0;0;0;0
5;0;3;42;28;7;10;3;1;1;0;0;0;1;0;0
6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
8;1;2;9;9;2;2;3;0;0;0;0;0;0;0;0
9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
