1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;8;0;0;4;0;1;0;1;0;0;1;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2;2;13;30;26;7;5;3;17;3;2;7;0;5;1;1;0;1;2;3;5;0;0;0;1;0;0;0;0;0
3;1;0;6;2;23;2;0;3;2;0;1;0;0;0;12;1;0;1;0;0;0;0;0;0;0;0;0;0;0
4;1;1;8;31;5;4;1;2;0;2;2;0;2;3;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0
5;4;1;5;8;0;18;0;3;5;2;1;5;1;0;0;0;3;0;0;0;1;1;0;1;0;0;0;0;0
6;3;0;56;7;4;3;1;2;0;5;3;1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0
7;0;0;0;0;3;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;0;2;3;2;0;0;1;0;2;0;1;0;0;0;3;0;0;0;0;0;1;0;1;0;0;2;1;0
9;1;0;3;2;0;0;0;0;0;0;14;0;1;0;1;1;0;0;0;1;0;4;0;0;4;0;0;0;1
10;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
