1;2;3;4;5;6;7;8
1;42;126;6;1;1;0;0;1
2;2;3;0;0;0;0;0;0
3;3;16;0;0;0;0;0;0
4;24;77;2;1;0;1;0;0
5;3;7;0;0;0;0;0;0
6;1;6;0;0;0;0;0;0
7;3;7;0;0;0;0;0;0
8;6;20;1;0;0;0;0;0
9;17;45;1;0;0;0;1;0
10;5;20;0;0;0;0;0;0
11;2;2;0;0;0;0;0;0
12;6;4;0;0;0;0;0;0
13;0;1;0;0;0;0;0;0
14;0;5;0;0;0;0;0;0
15;2;5;0;0;0;0;0;0
16;1;3;0;0;0;0;0;0
17;3;2;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0
20;1;6;0;0;0;0;0;0
21;0;1;0;0;0;0;0;0
22;1;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0
25;0;1;0;0;0;0;0;0
26;0;1;0;0;0;0;0;0
