1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1;5;7;0;15;28;4;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;5;30;5;6;4;16;0;8;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
3;2;7;26;1;2;5;0;0;10;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
4;3;23;1;2;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;1;3;9;5;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6;7;7;0;5;7;34;0;12;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
7;3;5;3;5;1;11;0;3;0;11;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
8;32;5;2;0;3;4;0;0;2;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0
9;4;2;1;9;6;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;1;5;1;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
11;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;1;2;1;3;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
