1;2;3;4;5;6;7;8;9;10;11;12;13
1;6;4;4;22;1;4;6;2;0;5;0;0;1
2;7;10;3;49;2;7;7;11;2;2;0;0;0
3;9;17;4;51;0;11;7;6;2;3;0;1;0
4;4;2;2;25;3;5;5;5;1;2;1;0;0
5;3;9;2;24;1;5;2;6;0;3;0;0;0
6;2;3;1;8;0;0;1;1;1;1;0;0;0
7;0;0;0;1;0;0;0;0;0;0;0;0;0
8;2;1;2;22;0;1;2;0;0;2;0;0;0
9;3;4;1;12;0;3;5;2;0;0;0;0;0
10;0;0;0;1;0;0;0;0;0;0;0;0;0
11;1;4;0;12;0;3;0;0;0;1;0;0;0
12;0;0;0;1;0;0;1;1;0;1;0;0;0
13;0;0;0;1;1;1;0;0;0;0;0;0;0
14;0;1;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;2;0;1;0;1;0;1;0;0;0
16;0;0;0;1;0;0;0;0;0;0;0;0;0
17;0;0;0;1;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;1;0;0;0;0;0;0;0
19;0;0;0;1;0;0;0;0;0;0;0;0;0
20;0;0;0;1;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;1;0;0;0;0;0
22;0;0;0;0;1;0;0;0;0;0;0;0;0
