1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;7;4;22;4;20;6;4;2;4;2;1;0;0;0;3;3;0;3;0;0;0;0;0;1;0;0;0;0;0
2;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3;4;14;17;1;13;1;0;4;6;3;2;0;0;0;1;1;0;4;0;0;0;0;1;0;0;1;0;1;0
4;1;3;7;0;9;0;0;0;1;2;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
5;2;4;6;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;3;2;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
7;8;7;14;6;18;8;1;3;6;5;4;0;1;2;1;0;1;2;0;0;1;1;0;0;0;1;0;0;0
8;7;5;5;5;10;1;1;1;2;2;0;0;0;0;3;0;0;1;0;0;4;0;0;0;0;0;0;0;0
9;2;3;0;1;6;2;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10;4;5;8;8;11;1;0;3;2;4;1;0;1;1;2;0;0;2;1;0;1;0;0;0;1;0;1;0;0
11;1;1;2;0;1;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;4;1;7;1;4;1;1;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;2;2;1;4;2;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
