1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;18;60;1;15;0;5;1;0;1;0;1;0;0;0;0;0;0;1;0;0
3;0;2;13;0;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
4;0;25;50;0;25;0;8;2;0;0;0;0;1;1;1;0;0;0;0;0;0
5;0;5;14;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;4;8;0;8;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;18;54;0;18;0;6;2;0;0;1;0;0;0;0;0;1;0;0;0;1
10;0;3;11;0;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;7;29;0;14;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
12;0;4;12;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
