1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;90;12;13;28;8;6;3;1;0;1;1;0;1;1;1;0
2;27;22;11;16;7;9;3;1;0;0;0;0;0;0;0;0
3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;9;10;7;36;19;6;10;1;1;1;0;0;0;0;0;0
6;1;4;0;4;1;2;0;0;0;0;0;1;0;0;0;0
7;5;1;1;9;3;1;4;0;0;0;0;0;0;0;0;0
8;1;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0
9;6;1;2;0;0;0;1;0;0;0;0;0;0;0;0;1
10;7;3;2;10;5;0;2;1;1;0;0;0;0;0;0;0
11;0;1;2;1;0;1;0;1;0;0;0;0;0;0;0;0
12;8;2;2;4;2;0;1;0;0;0;0;0;0;0;0;0
13;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
16;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
