1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
1;2;15;3;5;2;2;0;0;1;1;0;3;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
2;1;34;6;3;0;2;2;4;13;6;0;9;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0
3;0;23;5;9;4;4;0;2;13;6;2;7;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1
4;0;21;5;4;1;1;0;1;12;6;0;4;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
5;0;18;6;1;2;2;0;2;11;1;1;1;4;0;0;0;0;0;0;0;0;0;0;3;1;1;0
6;1;0;0;2;1;0;0;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;22;6;4;2;1;1;3;8;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;0;4;0;1;1;1;0;1;2;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;9;2;2;2;1;0;1;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;3;0;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;10;1;0;0;1;1;2;3;2;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
12;0;8;1;2;2;0;0;1;4;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
13;0;4;0;3;1;2;0;0;7;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
