1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;14;3;1;2;1;4;1;0;0;0;0;0;0;0
2;81;19;22;16;14;25;9;1;3;0;3;1;1;0
3;5;3;5;1;2;5;6;0;3;0;0;0;0;0
4;29;11;7;7;8;16;10;0;0;0;0;0;0;0
5;8;3;4;5;3;11;5;0;0;0;0;0;0;0
6;4;0;0;1;2;4;1;0;1;0;0;0;0;0
7;11;3;7;1;3;4;7;0;1;1;1;0;0;0
8;0;0;0;0;1;0;0;0;0;0;0;0;0;0
9;10;1;2;0;0;4;3;0;1;0;0;0;0;0
10;8;1;0;0;1;4;0;0;2;0;0;0;0;0
11;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;8;0;0;2;1;4;2;0;0;0;0;0;0;0
13;0;0;0;1;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;1;0;0;0;0;0;0;0;0
17;2;0;0;0;0;0;0;0;0;0;0;0;0;1
18;2;0;0;0;0;1;0;0;0;0;0;0;0;0
19;0;0;0;1;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;1;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;1;0;0;0;0;0;0;0;0
