1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;9;54;14;0;0;0;0;0;0;0;0;0;1;0
2;5;20;8;1;0;0;0;0;0;1;0;0;0;0
3;10;31;62;0;0;0;0;0;1;0;0;1;0;0
4;28;22;10;0;1;1;0;0;0;0;0;0;0;0
5;5;13;40;0;0;0;0;0;0;0;1;0;0;0
6;1;16;1;0;0;0;0;0;0;0;0;0;0;0
7;2;4;2;0;0;0;0;0;0;0;0;0;0;0
8;1;4;0;0;0;0;0;0;0;0;0;0;0;0
9;3;9;2;0;0;0;0;0;0;0;0;0;0;0
10;1;15;3;0;0;0;0;0;0;0;0;0;0;0
11;10;14;6;0;0;0;1;0;0;0;0;0;0;0
12;5;11;2;0;0;0;0;0;0;0;0;0;0;0
13;1;24;2;0;0;0;0;1;0;0;0;0;0;0
14;1;1;0;0;0;0;0;0;0;0;0;0;0;1
15;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16;0;1;2;0;0;0;0;0;0;0;0;0;0;0
17;0;0;1;0;0;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;1;0;0;0;0;0;0;0;0;0;0;0
20;0;4;2;0;0;0;0;0;0;0;0;0;0;0
21;0;0;1;0;0;0;0;0;0;0;0;0;0;0
22;0;0;1;0;0;0;0;0;0;0;0;0;0;0
23;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0;0;0;0;0;0;0
