1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
1;39;0;5;28;5;0;6;7;5;1;10;2;0;6;2;15;8;4;10;0;2;3;9;0;1;18;2;1;10;0;0;0;3;8;5;3;5;0;0;5;1;0;0;4;0;4;4;2;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;0;0;3;1;0;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;52;1;7;20;14;3;6;5;2;3;9;0;0;9;2;10;7;7;2;1;1;2;4;0;1;14;1;1;9;1;0;0;0;11;2;4;0;0;3;1;3;0;1;1;0;2;2;1;1;1;0;0;0;0;2;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;6;0;2;2;0;0;0;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;4;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;4;0;2;3;1;0;0;2;0;0;1;0;0;6;1;3;2;1;1;0;0;2;0;0;1;2;1;2;2;1;0;0;0;1;1;2;0;0;1;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;16;0;1;6;4;0;2;1;1;1;2;0;0;2;1;3;2;0;0;0;1;2;0;0;0;3;2;0;1;1;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;33;0;6;13;5;1;4;5;0;0;4;1;0;8;0;6;5;6;1;0;0;1;2;0;1;12;0;3;1;0;0;1;0;4;4;2;0;0;1;2;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
9;8;0;0;2;2;0;2;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;36;0;1;14;6;0;2;5;0;0;9;0;1;5;1;5;3;3;3;0;0;2;2;1;2;16;2;2;6;0;0;1;0;7;7;1;0;0;2;2;0;0;0;1;0;3;0;1;0;0;2;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
