1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72
1;2;2;1;0;2;2;1;2;3;6;2;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;7;1;11;1;2;7;3;4;1;1;3;0;0;0;1;0;1;2;0;1;3;0;1;1;4;0;3;0;1;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;2;3;0;0;1;0;2;0;1;0;1;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;55;11;88;0;10;51;5;49;12;37;19;3;2;1;15;4;15;2;24;7;39;3;2;12;11;7;16;15;5;6;4;13;0;16;8;3;5;3;0;2;3;6;5;9;1;3;0;2;0;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
5;15;9;51;1;6;16;5;26;11;15;7;3;0;0;8;6;2;0;6;2;26;3;1;4;2;2;11;5;3;4;3;7;0;5;0;3;3;4;0;1;0;2;2;4;0;1;0;4;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
6;0;2;5;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;2;1;7;0;2;3;0;3;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
8;8;1;9;0;4;3;0;8;3;4;0;2;0;0;3;0;1;1;1;1;1;0;0;2;2;0;2;1;1;1;1;0;0;0;3;0;0;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
9;25;11;61;0;6;21;3;29;8;13;8;1;0;0;8;2;4;2;6;6;33;2;2;5;9;1;19;7;0;6;1;10;0;7;8;0;1;9;1;2;0;0;1;5;1;3;2;1;0;1;0;0;0;0;0;0;2;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0
10;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
