1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;12;57;4;1;1;5;0;1;0;3;6;1;0;0;0
2;3;6;0;0;4;0;2;0;0;2;1;0;0;0;2
3;4;2;4;0;0;1;1;1;0;2;0;0;0;9;0
4;2;6;11;2;0;1;5;0;1;3;0;0;0;2;0
5;3;8;2;7;2;14;3;2;0;1;0;0;1;2;0
6;1;3;2;0;0;2;4;0;0;20;1;0;0;2;0
7;13;2;0;1;0;1;0;1;0;0;0;0;1;0;0
8;5;9;18;0;1;5;10;1;0;5;2;0;0;1;0
9;3;2;5;0;0;1;3;7;0;3;14;0;0;0;0
10;5;2;0;2;0;8;0;3;0;3;1;0;0;1;0
11;16;2;2;0;0;1;0;2;0;2;1;0;5;1;0
12;1;2;1;0;0;2;0;3;0;0;3;0;0;0;0
13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14;1;2;0;0;1;1;2;1;0;13;1;0;0;0;0
15;1;2;2;0;1;0;1;1;0;1;5;0;0;0;0
16;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1
17;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1
18;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
21;0;0;0;0;1;0;1;0;0;3;2;0;0;0;0
22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
23;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
27;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
