1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;1;3;3;0;0;0;0;0;1;0;1;0;0;0;0
2;8;8;15;5;0;1;16;2;1;1;6;0;0;1;0
3;3;17;49;14;2;3;21;4;6;1;17;10;0;0;0
4;3;5;15;3;1;0;6;1;0;0;3;2;0;0;0
5;8;23;34;7;1;5;24;5;6;2;18;1;1;0;0
6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7;1;12;30;9;2;5;15;3;2;0;8;1;1;0;1
8;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
