1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;195;54;9;37;8;8;17;12;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1
2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;35;10;2;10;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;22;5;1;3;2;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
5;5;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;10;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;6;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
