1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124
1;26;4;6;0;6;0;2;7;19;2;4;14;1;1;0;4;1;1;3;2;0;0;0;0;7;1;0;2;0;0;9;0;1;0;0;1;0;0;0;0;0;0;1;2;0;1;0;4;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;12;2;1;1;2;0;2;1;9;3;7;12;0;1;0;3;0;0;1;1;4;1;0;0;3;1;0;0;0;1;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;31;9;8;1;12;3;2;7;17;7;25;24;2;1;0;4;1;2;1;3;8;2;0;0;5;3;0;0;2;0;17;3;2;8;0;0;0;0;2;1;0;0;4;1;6;0;0;5;0;0;4;0;3;2;3;4;0;0;1;1;2;2;0;0;1;1;1;0;3;2;1;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;22;5;7;1;5;1;3;7;11;8;8;15;0;0;0;4;0;0;5;2;3;1;0;0;2;3;2;2;6;1;3;0;2;2;0;3;0;1;1;0;0;0;1;1;1;0;0;5;0;0;2;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
6;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;30;9;8;0;6;0;3;4;15;4;18;15;2;1;1;8;0;0;3;4;10;1;1;0;10;1;2;1;4;1;18;1;4;4;0;1;0;0;0;2;1;1;1;2;1;0;1;6;1;0;1;0;2;1;3;2;2;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8;66;18;28;0;15;4;3;11;31;12;38;34;0;3;3;9;2;3;4;6;6;1;0;0;11;7;3;5;3;0;18;4;1;2;0;3;1;0;2;3;0;0;2;2;7;4;3;14;1;1;4;0;6;0;7;5;1;1;2;2;1;1;1;3;0;0;1;0;2;5;3;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
9;29;5;12;1;8;1;3;9;17;7;12;14;1;2;1;8;0;1;4;6;9;2;0;0;6;2;1;4;3;0;6;1;1;6;0;7;0;0;0;1;0;2;4;4;5;1;1;5;1;1;1;0;3;0;1;0;0;0;2;0;0;2;0;2;3;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
10;6;0;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
