1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;2;20;11;4;4;15;17;4;0;0;2;0;1;2;1;0;0;1;0;0;0;0;0;0
2;0;24;6;4;4;8;9;5;0;0;2;1;0;1;2;0;0;0;0;1;0;0;1;0
3;0;3;2;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
4;0;12;2;1;1;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;38;14;6;6;20;19;7;0;1;3;0;0;1;5;0;0;0;0;0;0;1;0;0
6;1;9;8;1;0;16;6;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1
7;0;1;0;0;0;2;1;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
8;0;20;5;0;4;8;9;2;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0
9;0;5;4;3;1;2;4;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
10;0;8;4;0;0;8;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
11;0;2;1;2;1;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;5;1;0;0;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
