1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;71;4;21;21;18;10;10;1;6;1;0;2;1;0;1;1;0;0
2;103;13;36;21;22;19;11;3;19;1;1;1;0;0;0;0;0;1
3;14;0;8;7;3;2;3;1;3;0;0;0;0;0;0;0;0;0
4;14;1;4;3;3;2;1;0;0;0;0;0;0;1;0;0;1;0
5;2;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
