1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109
1;3;40;3;6;0;1;19;0;4;2;2;3;7;1;1;1;6;0;0;0;0;0;3;8;10;9;2;2;1;7;4;0;1;2;0;0;0;1;3;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;9;0;1;0;1;1;1;4;1;1;1;3;0;0;1;3;0;0;0;0;0;1;2;1;1;0;1;0;1;1;0;1;2;3;0;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;1;46;0;8;0;1;9;1;11;5;2;3;6;0;0;2;9;2;0;1;0;0;5;8;10;7;3;3;0;5;4;2;7;1;4;1;0;1;3;0;0;3;4;1;3;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;46;2;3;0;0;25;1;6;12;2;2;6;4;1;2;15;1;0;1;2;0;7;8;15;7;3;2;2;8;1;1;2;4;1;0;1;2;5;0;0;2;4;1;2;0;0;0;1;0;2;1;1;0;2;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;10;1;1;0;2;2;0;1;2;0;1;1;0;0;0;2;0;0;1;0;0;5;1;3;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;28;4;3;0;0;7;2;4;2;0;2;3;2;1;0;5;2;0;1;0;0;1;1;5;4;1;0;0;0;2;0;4;1;0;0;0;0;1;1;0;2;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;87;4;13;0;1;30;4;13;9;1;3;18;6;1;3;21;2;0;0;1;0;12;6;19;15;3;3;4;10;10;3;10;9;1;0;0;6;2;0;0;6;10;3;3;1;1;0;0;0;3;0;0;1;4;0;0;1;0;1;1;0;2;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
9;1;31;1;4;0;1;10;3;2;9;1;3;6;1;0;0;8;1;0;0;0;0;5;4;4;3;3;3;2;3;1;0;3;4;0;0;0;2;0;0;0;2;3;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
10;0;23;0;5;0;0;9;1;2;3;1;5;5;4;1;2;13;0;0;0;1;0;3;8;4;5;3;0;2;3;2;0;2;3;0;0;0;4;1;0;0;2;1;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
