1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109
1;7;97;48;150;20;15;16;11;26;12;0;6;2;5;1;4;12;50;21;3;3;6;9;1;3;12;0;0;0;0;1;1;2;3;1;1;1;1;0;0;1;2;3;1;2;3;1;0;0;0;2;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2;2;83;37;137;23;10;13;12;12;8;0;5;3;6;0;0;10;44;8;2;0;3;16;2;3;11;2;0;1;0;1;3;3;1;0;0;0;0;0;0;1;0;2;1;1;2;1;0;4;1;1;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0
3;0;21;9;26;6;3;2;4;4;1;0;2;0;0;0;0;1;9;0;0;0;0;5;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;18;9;32;3;2;2;3;3;4;1;2;0;3;0;2;2;6;4;0;0;0;2;0;0;4;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
5;3;54;21;87;15;9;7;18;18;8;0;4;0;4;0;1;6;20;3;0;0;2;13;1;2;11;0;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;3;52;22;73;14;12;8;15;5;2;0;7;1;3;0;2;4;18;8;1;0;1;2;0;1;4;0;0;0;0;0;0;2;1;0;1;0;0;0;3;1;2;0;0;0;2;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;3;2;0;2;0;1;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;10;7;31;1;3;1;3;7;1;0;2;0;2;0;0;1;6;1;0;0;0;4;1;3;3;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
