1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118
1;22;3;5;17;1;4;0;16;10;1;23;0;0;8;1;2;0;2;0;2;3;4;0;9;1;0;3;1;2;1;1;0;0;1;5;1;0;4;0;1;0;1;1;1;1;0;0;5;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2;13;4;2;16;1;1;0;5;3;0;14;0;0;2;1;0;0;0;1;1;4;3;1;6;0;1;1;1;2;0;0;0;0;1;2;0;0;1;0;0;0;0;1;2;1;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;33;12;7;31;3;2;0;14;7;2;34;1;1;21;0;6;0;1;6;3;3;4;0;19;0;0;3;4;10;0;1;0;0;2;7;2;1;2;4;1;0;1;0;1;1;1;0;3;0;0;0;3;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
4;9;2;3;7;1;1;0;4;2;0;8;1;0;5;0;0;0;0;2;1;0;0;0;4;0;0;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;7;1;3;3;1;2;0;1;1;0;3;0;0;4;0;0;0;0;1;0;2;1;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;28;8;6;18;1;4;0;9;5;0;23;0;0;15;1;1;0;1;3;1;2;2;0;15;2;1;2;2;5;2;0;1;0;3;6;2;0;3;1;0;0;0;1;2;0;0;1;1;0;1;1;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
7;31;19;6;32;1;5;1;11;11;6;33;0;0;15;0;1;0;3;9;2;4;4;0;24;1;3;2;4;13;0;2;1;0;3;2;1;0;1;3;0;0;2;6;6;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;1;2;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
8;8;3;2;9;2;0;0;5;1;1;5;0;0;3;0;0;0;1;2;0;2;1;0;6;1;0;1;0;0;0;1;0;0;4;1;1;1;2;1;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
9;41;9;7;26;4;2;0;11;8;4;37;0;0;18;0;4;0;3;5;1;6;2;0;16;1;1;4;3;7;0;3;1;0;2;4;0;0;2;1;0;0;4;1;1;1;0;0;3;1;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
