1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1;6;80;20;7;45;44;53;30;10;0;6;0;0;1;0;1;1
2;3;24;5;5;15;11;12;5;1;1;0;1;0;0;0;0;0
3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4;0;9;2;1;9;5;2;0;0;0;1;0;1;0;0;0;0
5;1;4;0;0;7;5;2;0;1;0;2;0;0;0;0;0;0
6;1;4;4;1;6;11;5;5;1;0;0;0;0;0;0;1;0
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;2;0;0;3;1;2;1;0;0;0;0;0;0;1;0;0
9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
