1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
1;29;63;0;2;5;4;12;2;9;8;5;1;16;4;1;3;0;4;2;0;1;2;0;0;0;1;0;4;0;0;1;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2;66;129;6;4;14;11;13;8;40;18;8;0;24;5;6;3;0;8;9;4;6;4;2;0;3;0;0;12;0;0;2;0;0;0;2;2;1;0;0;0;1;2;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;6;24;0;2;5;1;4;0;9;1;0;0;5;1;0;0;0;1;2;2;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;26;54;3;4;9;2;8;4;18;4;4;0;14;4;2;1;1;5;1;2;1;1;1;0;0;0;0;3;1;0;2;0;0;0;1;1;0;0;1;1;2;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;32;37;1;1;3;7;5;4;10;5;1;0;12;1;1;1;1;2;5;1;1;2;0;0;1;0;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6;1;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;1;3;0;2;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
8;0;1;0;0;1;1;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9;8;21;0;0;2;0;4;1;5;5;1;0;3;0;1;1;0;1;1;1;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10;3;3;0;0;1;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;30;79;6;6;9;5;12;1;15;4;7;1;16;2;2;2;0;4;3;3;1;5;0;0;6;1;2;4;1;0;3;0;0;0;4;2;0;0;0;0;1;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
