1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112
1;159;23;2;9;17;5;3;1;28;7;27;24;1;1;10;15;4;5;12;11;0;7;19;4;6;8;11;2;1;4;6;1;10;4;8;0;1;7;2;6;2;8;7;1;0;4;2;0;1;1;1;3;2;0;1;0;0;1;2;0;1;1;0;2;3;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
2;28;2;1;0;2;0;1;1;5;2;5;4;0;0;3;6;2;2;1;0;0;4;1;0;2;1;2;1;0;2;1;2;1;1;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;75;10;1;4;7;1;1;0;7;4;11;12;0;1;7;6;3;3;8;1;0;0;7;7;4;3;3;1;0;1;3;2;1;2;4;1;0;6;2;5;1;5;1;0;1;0;0;0;0;2;0;2;0;1;0;0;5;0;2;3;1;0;0;1;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;46;5;4;1;5;0;1;0;5;2;11;11;0;0;9;4;3;2;3;1;1;1;6;6;1;4;2;0;0;1;2;0;1;2;3;0;0;0;0;0;2;3;1;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5;190;28;6;12;19;5;6;2;31;4;38;33;1;4;13;8;5;4;20;10;0;4;18;12;7;3;9;4;4;5;7;1;8;1;4;1;1;7;2;12;4;14;2;3;0;3;1;2;0;4;0;1;2;1;1;1;2;3;0;3;1;0;0;1;1;2;1;2;0;1;0;2;1;0;0;3;1;0;2;0;3;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1
6;11;3;0;0;1;1;0;0;0;1;3;3;0;0;1;1;1;0;2;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;26;2;1;0;5;1;2;0;8;2;5;5;0;0;1;1;3;1;2;1;0;0;1;4;3;0;1;0;0;1;3;0;0;0;1;0;1;2;0;2;0;6;0;0;0;4;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;94;9;3;2;11;1;6;0;22;0;17;22;2;0;14;7;7;5;9;8;1;4;9;4;9;4;7;0;1;2;2;3;2;1;3;1;0;3;0;3;0;10;1;1;0;3;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;5;1;1;1;2;1;0;0;3;1;4;1;0;0;2;2;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
