1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;82;3;18;1;1;0;0;0;0;1;0;0;0;0;0
2;27;1;11;1;0;1;0;1;0;0;0;0;0;0;0
3;12;0;3;0;1;0;0;0;0;0;1;1;0;0;0
4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;42;2;6;0;1;0;0;0;0;0;0;0;0;1;0
6;11;1;5;0;1;0;0;0;0;0;0;0;0;0;0
7;31;3;4;1;1;0;0;0;0;0;0;0;0;0;0
8;8;0;3;1;0;0;0;0;0;0;0;0;0;0;0
9;26;1;6;0;0;0;0;0;0;0;0;0;0;0;1
10;12;0;1;0;0;0;0;0;1;0;0;0;0;0;0
11;72;6;12;0;4;0;1;0;0;0;0;0;1;0;0
12;14;0;4;0;0;0;0;0;0;0;0;0;0;0;0
13;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0
14;9;0;1;2;0;0;0;0;0;0;0;0;0;0;0
15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
