1;2;3;4;5;6;7;8;9;10;11;12
1;15;94;12;25;6;0;5;3;0;0;0;1
2;24;78;19;18;4;3;3;2;3;0;0;0
3;7;41;4;11;0;0;2;1;1;0;0;0
4;9;36;2;7;4;0;1;1;0;0;1;0
5;0;10;0;2;0;0;0;1;0;0;0;0
6;0;1;0;0;0;0;0;0;0;0;0;0
7;2;6;0;1;0;0;1;0;0;1;0;0
8;2;10;1;0;0;0;1;0;0;0;0;0
9;0;1;0;0;0;0;0;0;0;0;0;0
10;0;0;0;1;0;0;0;0;0;0;0;0
11;1;3;0;0;0;0;1;0;0;0;0;0
12;0;0;0;0;0;0;0;0;1;0;0;0
13;0;1;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;1;0;0;0
15;0;0;0;0;1;0;0;0;0;0;0;0
16;1;2;0;0;0;0;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0;0;0
18;0;2;0;1;0;0;0;0;0;0;0;0
