1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1;18;4;9;24;4;5;0;5;1;4;2;4;2;0;0;0;0
2;7;0;8;15;3;4;0;5;0;1;0;2;1;0;0;0;0
3;14;4;9;19;1;1;0;3;0;3;4;5;0;0;0;0;0
4;15;2;8;26;8;7;0;7;0;6;2;3;2;1;0;0;0
5;10;1;6;15;1;4;0;0;1;1;0;2;0;0;0;0;0
6;2;0;2;6;1;1;0;1;0;1;0;1;0;0;0;0;0
7;14;1;9;28;0;2;0;5;2;6;2;3;0;1;0;0;1
8;5;0;8;6;0;0;1;1;0;0;1;0;0;0;0;1;0
9;5;0;4;8;2;0;0;1;0;4;0;0;0;0;0;0;0
10;6;1;1;7;0;4;0;0;0;1;0;1;0;1;1;0;0
11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;1;5;0;1;0;0;0;0;1;0;0;0;0;0;0
13;2;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
