1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;3;1;5;1;2;0;2;0;0;0;0;0;0;0;0;0
2;110;43;35;12;12;14;12;7;1;1;3;1;0;0;0;0
3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4;22;11;12;10;2;4;3;1;0;0;1;0;0;0;1;1
5;15;9;6;2;1;1;0;0;0;0;0;0;0;0;0;0
6;39;6;15;6;2;5;5;4;0;0;2;0;1;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
9;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;2;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0
12;9;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
