1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114
1;64;20;11;8;12;3;4;0;3;9;4;2;2;0;0;10;1;9;4;0;16;7;4;5;0;7;5;1;1;2;7;7;2;3;2;0;0;1;0;3;0;0;3;0;1;0;0;2;1;0;0;1;0;0;1;0;0;3;0;0;1;6;0;0;1;1;0;0;3;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
2;86;40;11;12;18;1;0;1;2;8;11;4;2;0;0;21;3;14;2;0;11;14;10;10;1;9;10;0;0;2;3;26;2;5;3;0;0;2;0;0;0;0;4;0;2;0;0;2;0;0;0;1;1;0;1;0;0;2;0;3;1;0;0;2;0;2;1;1;4;0;1;4;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
3;3;7;4;2;5;0;1;0;1;2;1;0;2;0;0;1;0;2;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;64;41;5;10;25;1;2;2;3;19;4;1;4;0;0;7;3;10;0;1;10;8;8;8;0;9;6;1;2;2;7;12;0;5;4;1;0;0;0;1;1;0;1;0;0;2;0;1;0;2;0;2;1;0;3;0;0;5;0;0;3;3;2;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;1;1;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;20;11;1;5;4;0;0;0;2;4;1;1;2;0;0;4;0;4;0;0;6;1;0;2;0;1;2;4;0;0;1;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;8;2;2;2;1;1;0;0;0;1;1;2;0;0;0;2;0;1;0;0;3;2;2;0;0;1;1;0;1;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;35;11;1;5;8;1;1;0;1;2;2;4;2;0;0;4;1;2;0;0;7;2;0;2;0;3;5;1;1;0;1;5;1;1;1;0;0;0;0;1;0;0;4;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;47;15;8;7;16;3;2;0;1;5;5;1;4;0;0;7;1;5;0;1;10;9;5;3;0;1;1;2;0;1;3;6;3;3;1;1;0;0;0;0;0;1;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;1;0;2;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;12;9;0;2;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
