1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;13;9;4;1;1;0;1;0;0;0;0;0;0;0
2;59;57;7;11;0;1;2;3;0;0;0;0;1;0
3;28;13;3;1;0;0;1;0;0;1;0;0;0;0
4;9;10;0;0;0;0;0;4;0;0;0;0;0;0
5;8;7;1;0;0;0;0;0;0;0;0;0;0;0
6;11;9;2;2;0;0;0;0;0;0;0;0;0;0
7;6;2;0;0;0;0;0;0;1;0;0;0;0;0
8;5;11;3;1;0;0;0;1;0;0;0;0;0;0
9;10;13;2;0;0;0;1;0;0;0;0;0;0;0
10;8;8;2;2;0;0;0;0;0;0;1;0;0;0
11;13;4;1;1;0;0;0;1;0;0;0;0;0;0
12;8;5;0;0;0;0;0;0;0;0;0;1;0;1
13;6;2;0;0;0;0;0;0;0;0;0;0;0;0
14;6;4;1;1;0;0;0;0;0;0;0;0;0;0
15;2;1;0;0;0;0;0;0;0;0;0;0;0;0
16;15;7;5;2;0;0;1;0;0;0;0;0;0;0
17;3;0;0;0;0;0;0;0;0;0;0;0;0;0
18;3;3;0;0;0;0;0;0;0;0;0;0;0;0
19;5;1;1;0;0;0;0;0;0;0;0;0;0;0
20;2;3;0;1;0;0;0;0;0;0;0;0;0;0
21;0;0;1;0;0;0;0;0;0;0;0;0;0;0
22;0;1;0;0;0;0;0;0;0;0;0;0;0;0
23;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0;0;0
25;1;1;0;0;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;1;0;0;0;0;0;0;0;0;0;0;0;0;0
28;2;0;0;1;0;0;0;0;0;0;0;0;0;0
29;0;0;0;1;0;0;0;0;0;0;0;0;0;0
30;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;2;0;0;0;0;0;0;0;0;0;0;0;0
32;1;2;0;0;0;0;0;0;0;0;0;0;0;0
33;1;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0;1;0;0;0;0;0;0;0;0;0;0;0;0
35;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;2;0;0;0;0;0;0;0;0;0;0;0;0;0
37;1;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;1;0;0;0;0;0;1;0;0;0;0;0;0
39;0;1;0;0;0;0;0;0;0;0;0;0;0;0
40;1;2;0;0;0;0;0;0;0;0;0;0;0;0
41;1;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;1;0;0;0;0;0;0;0;0;0;0;0;0
