1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112
1;50;117;40;5;4;0;0;14;5;0;14;15;1;0;1;2;2;5;0;3;3;2;0;5;3;0;2;0;0;0;2;1;1;2;0;0;2;2;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;29;69;26;2;2;1;0;7;2;0;8;15;1;0;1;1;2;7;0;0;2;2;0;4;2;0;4;0;0;1;0;1;0;2;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;7;19;13;1;2;0;0;3;0;0;6;5;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;60;160;63;6;4;2;0;14;3;0;20;18;1;0;0;1;2;3;3;1;2;6;1;6;3;0;1;1;0;0;6;2;0;1;0;0;2;1;0;0;0;1;2;0;1;0;4;0;1;0;1;0;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
5;126;306;146;10;9;8;0;40;7;3;31;51;5;1;2;0;10;9;7;4;7;7;3;8;5;1;6;1;0;2;5;3;1;6;1;0;3;5;0;1;0;2;4;6;1;1;2;2;1;2;0;1;0;1;1;1;1;0;3;2;1;0;2;0;0;1;0;0;2;0;0;2;1;0;0;1;0;0;2;2;0;0;1;1;1;1;0;1;0;1;0;1;0;1;0;2;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0
6;48;101;46;8;5;0;0;13;5;1;10;15;0;0;0;0;1;4;1;1;2;1;1;6;3;0;1;0;0;0;4;0;0;3;1;0;1;4;0;0;0;0;1;3;0;0;0;0;1;0;0;1;0;1;0;1;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;26;39;24;1;2;2;0;11;3;0;5;5;1;0;0;0;1;1;0;0;0;0;1;2;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;42;85;38;1;2;2;0;14;1;1;9;9;0;0;0;0;2;2;2;0;1;1;1;2;1;2;1;0;1;0;6;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;5;6;8;1;0;0;0;4;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;8;38;22;0;3;1;0;6;0;0;2;4;0;0;0;1;0;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;32;83;44;1;6;0;0;12;1;0;5;11;2;0;1;1;1;5;1;2;2;0;1;1;3;0;2;0;0;2;0;0;2;1;0;0;2;2;0;2;0;2;0;2;1;0;3;1;0;0;0;0;1;2;0;3;0;1;1;1;1;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12;1;10;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;2;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;12;23;9;1;3;1;0;3;0;1;2;0;1;0;0;0;2;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
