1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;36;8;2;1;11;15;2;0;1;3;1;0;4;11;6;15;10;1;1;2;0;0;0;2;1;0;0;1;0
2;23;5;2;2;8;11;5;1;0;1;0;2;2;5;6;12;4;0;0;0;0;0;1;2;1;1;1;0;0
3;46;7;7;1;8;28;4;7;0;3;4;4;1;9;6;15;9;6;2;1;0;1;0;2;0;0;1;0;1
4;5;1;0;0;0;4;1;1;0;0;0;0;5;4;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0
5;8;2;1;3;0;7;2;0;0;0;2;0;0;4;2;5;2;3;0;1;1;0;0;1;0;0;0;0;0
6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
7;2;1;1;1;0;3;0;2;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
