1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1;13;10;9;9;6;5;3;7;5;1;0;0;1;0;0;0;0;0;0;0;0
2;11;13;19;20;11;4;7;12;7;8;0;0;2;1;1;0;0;1;0;0;0
3;18;10;14;11;7;3;8;9;6;3;0;0;2;0;0;0;1;0;0;0;0
4;27;22;19;37;12;11;11;23;5;9;1;1;3;0;0;1;0;0;0;0;1
5;3;1;0;3;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;1;0
6;0;1;2;2;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
