1;2;3;4;5;6;7;8;9;10;11;12
1;31;40;77;23;1;4;0;0;0;0;0;0
2;4;3;3;0;0;0;0;0;0;0;0;0
3;10;9;26;9;0;0;3;1;0;1;0;0
4;16;13;41;10;0;1;1;0;0;0;0;0
5;11;29;41;10;0;2;2;0;1;0;0;1
6;0;1;0;0;0;0;0;0;0;0;0;0
7;2;1;2;0;0;0;0;0;0;0;0;0
8;1;1;2;2;0;0;0;0;0;0;0;0
9;0;1;0;2;0;0;0;0;0;0;0;0
10;3;5;11;3;0;1;0;0;0;0;0;0
11;1;1;1;0;0;1;0;0;0;0;0;0
12;0;0;2;0;0;0;0;0;0;0;0;0
13;2;2;4;1;0;0;0;0;0;0;1;0
14;0;1;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;0;0;0;0;0;0;0;0
16;1;4;4;1;0;0;0;0;0;0;0;0
17;0;0;1;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0;0;0;0
21;0;0;1;0;0;0;0;0;0;0;0;0
22;0;1;0;0;0;0;0;0;0;0;0;0
23;0;0;1;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;1;0;0;0;0;0;0;0;0
26;0;0;0;1;0;0;0;0;0;0;0;0
