1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1;3;56;7;2;3;7;9;7;11;5;4;2;2;0;3;4;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
2;2;19;0;0;2;1;0;4;7;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;14;3;0;0;0;0;3;1;2;1;0;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;21;3;0;0;1;3;6;1;0;4;3;1;1;4;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1
5;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;7;73;11;0;4;7;6;15;16;6;8;5;5;9;9;3;8;1;1;2;1;0;0;4;0;0;0;0;1;0;1;0
7;0;7;0;0;1;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;11;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
