1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;88;1;43;50;21;37;1;1;14;5;1;14;2;2;1;1;1;1;1;0;0;0;1;0;0;1;1
3;22;0;6;6;4;6;0;0;3;1;0;3;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
4;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;13;0;7;5;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6;12;0;7;6;1;3;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
7;6;0;6;4;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;15;0;6;5;3;3;0;0;5;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
10;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
