1;2;3;4;5;6;7;8;9;10;11
1;18;39;41;8;1;5;1;2;4;5;0
2;5;21;35;6;4;6;0;3;2;4;2
3;6;13;18;6;0;3;1;1;2;4;1
4;2;7;23;2;0;4;0;1;0;3;0
5;3;4;11;0;0;2;0;0;1;0;0
6;6;5;21;3;0;1;0;1;0;5;0
7;0;0;5;0;0;0;0;0;0;0;0
8;1;1;1;0;1;0;0;0;0;0;0
9;3;3;8;1;0;4;1;1;1;0;0
10;2;3;3;0;0;0;0;0;0;0;0
11;2;18;15;2;1;3;0;3;2;5;0
12;3;7;5;1;0;2;0;1;1;4;1
13;0;0;1;0;0;0;0;0;0;0;0
14;2;0;1;1;0;1;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;1
17;0;0;1;0;0;0;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0;0
19;0;0;1;0;0;0;0;0;0;0;0
20;1;0;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0
