1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;33;83;15;76;36;5;22;0;32;4;7;1;0;0;0;0;1;1;1;1;0;0
2;2;4;2;7;2;2;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0
3;1;3;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
4;0;4;0;5;1;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;6;0;7;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
6;3;1;2;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
7;2;5;0;6;5;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1
8;3;7;0;2;1;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
9;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10;4;5;0;4;4;1;2;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0
11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;2;1;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
