1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1;8;1;0;3;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2;11;23;5;3;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0
3;8;4;23;0;2;1;0;0;1;1;0;0;1;0;0;0;0;0;0
4;4;1;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;46;48;23;24;25;6;12;0;0;7;1;1;3;0;0;1;1;0;0
6;5;0;3;3;3;8;1;1;0;1;0;0;0;1;0;0;0;0;0
7;3;8;4;1;5;0;1;0;0;1;0;0;0;0;0;0;0;0;1
8;3;2;0;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0
9;0;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10;3;6;0;2;3;0;1;0;0;1;0;0;1;0;0;0;0;0;0
11;4;5;2;1;2;3;1;0;0;22;0;0;1;0;0;0;0;1;0
12;1;2;2;0;5;0;0;2;0;2;0;0;0;0;0;0;0;0;0
13;1;1;0;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;5;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
