1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1;60;20;8;0;6;12;10;0;0;11;2;11;0;0;1;0;1;0;0
2;0;9;2;19;5;7;3;0;10;0;1;0;3;0;2;0;2;2;0
3;44;29;11;11;7;15;8;19;6;7;6;5;0;1;4;2;0;0;0
4;0;12;5;0;1;7;1;42;0;0;5;0;0;0;1;1;0;0;1
5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;7;3;2;0;3;1;8;0;3;1;0;1;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
