1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;40;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3;223;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1
4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;90;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0
7;27;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
