1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
1;10;3;4;2;8;1;2;16;1;1;3;2;3;0;19;2;0;1;1;1;0;0;0;16;0;0;0;6;0;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2;30;4;4;3;5;0;3;3;0;0;2;4;4;7;1;0;0;3;0;0;0;0;0;1;0;0;0;0;2;0;0;3;9;0;5;0;1;0;2;1;0;0;1;1;0;0;0;0;0;1;0;0
3;12;9;4;76;18;3;6;3;2;0;5;32;35;1;3;1;0;2;0;11;0;0;1;3;1;0;0;2;2;3;0;4;4;0;0;1;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0;0
4;5;9;19;7;5;15;2;2;0;1;24;4;2;2;3;0;0;2;0;0;1;0;0;1;0;0;0;2;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
5;4;49;0;12;4;0;2;1;0;1;3;2;2;0;2;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1;4;2;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1
6;6;5;2;5;4;1;24;3;0;7;1;3;2;1;1;0;0;17;0;0;0;0;0;0;0;1;0;0;5;0;0;15;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9;5;7;1;3;31;1;0;1;2;0;2;1;3;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;10;2;2;1;28;2;1;4;3;0;2;1;2;0;4;0;0;1;0;1;0;1;3;0;0;0;2;0;0;0;2;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
13;1;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;3;0;0;2;0;0;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
19;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
