1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;43;48;10;15;6;17;15;5;0;1;1;0;0;1;0
2;3;3;1;3;9;2;3;0;0;0;0;0;0;0;0
3;2;20;4;6;3;5;3;0;0;0;0;0;0;0;0
4;21;3;1;6;1;4;3;0;0;0;0;0;0;0;1
5;6;17;1;6;0;2;23;2;0;0;0;0;0;0;0
6;3;8;1;6;2;3;0;2;0;0;0;1;0;0;0
7;6;17;0;5;0;1;2;2;0;0;0;0;0;0;0
8;5;13;0;2;2;1;2;1;0;0;0;0;0;0;0
9;2;16;2;1;0;4;1;1;0;0;0;0;0;0;0
10;11;1;0;1;1;0;0;0;0;0;0;0;0;0;0
11;3;4;0;1;1;2;1;2;0;0;0;0;1;0;0
12;1;2;1;5;0;4;1;2;0;0;0;0;0;0;0
13;3;4;1;2;0;0;1;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
