1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;21;32;26;6;23;10;1;2;55;25;4;3;2;1;1;1
2;1;3;1;0;0;0;0;0;1;2;0;0;0;0;0;0
3;1;3;2;0;3;1;0;0;3;0;0;0;0;0;0;0
4;12;23;7;7;8;3;1;3;22;8;0;1;1;0;0;1
5;7;7;1;0;3;0;2;1;4;2;3;0;0;0;0;0
6;1;2;3;1;1;1;0;0;5;0;1;0;0;0;0;0
7;4;4;5;0;5;0;1;0;8;2;0;0;0;0;0;0
8;2;5;0;1;4;1;0;1;6;0;0;0;0;0;0;1
9;2;3;0;0;2;0;0;1;5;3;0;0;1;0;0;0
10;0;1;2;0;2;0;0;0;4;0;0;0;0;0;0;1
11;1;1;2;1;2;1;0;1;3;2;0;0;0;0;0;0
12;4;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0
13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
14;0;3;1;1;1;0;0;0;2;0;1;0;1;0;0;0
15;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
