1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;22;0;0;4;3;0;1;0;0;0;0;0;0;0
2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3;14;1;1;2;0;0;2;0;0;0;0;0;0;0
4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;43;11;2;9;4;3;5;0;0;1;0;0;0;0
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0;0
8;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;1;0;0;0;0;0;0;0;0;0;0
10;10;0;0;2;1;1;1;0;0;1;0;0;0;0
11;8;0;0;2;1;1;1;0;0;0;0;0;0;0
12;0;0;0;0;1;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;3;0;0;1;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16;15;3;1;5;2;0;2;1;0;1;1;0;0;0
17;5;1;1;0;0;1;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;1;0;0;0;0;0;0;0;0
21;1;2;0;2;0;0;0;0;0;1;0;0;0;0
22;0;0;0;0;0;0;1;0;0;0;0;0;0;0
23;3;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2;0;0;1;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;1;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;6;0;0;5;0;0;1;0;0;0;0;0;0;0
28;0;1;0;1;0;0;2;0;0;0;0;0;0;0
29;7;2;0;2;3;0;1;1;0;0;0;0;0;0
30;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;0;0;1;0;0;0;0;0
32;14;3;1;2;1;1;0;1;1;0;0;0;1;0
33;0;0;0;0;1;0;0;0;0;0;0;0;0;0
34;11;3;1;2;4;0;1;0;0;0;0;0;0;0
35;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;3;0;0;0;1;0;0;0;0;0;0;0;0;0
37;1;0;0;0;0;0;0;0;0;0;0;0;0;0
38;1;1;0;0;0;0;0;0;0;0;0;0;0;0
39;2;0;0;1;1;1;1;0;0;1;0;0;0;0
40;1;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;1;0;1;0;0;0;0;0;0;0;0
43;1;0;0;0;0;0;0;0;0;0;0;0;0;0
44;1;0;0;0;0;0;0;0;0;0;0;0;0;0
45;1;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;1;0;0;0;0;0;0;0;0;0;0;0;0
47;8;0;1;0;0;0;2;0;0;1;0;0;0;0
