1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;51;0;10;2;1;28;20;10;13;0;0;3;1;2;0;1;0;0;0;0;0;0
2;48;1;12;2;0;22;24;7;19;1;0;1;2;1;1;0;1;0;0;0;0;0
3;12;0;3;0;0;3;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0
4;24;0;4;3;0;10;14;3;6;0;1;1;1;0;0;0;2;0;0;0;0;0
5;10;0;1;1;0;3;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
6;5;0;2;3;0;6;5;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0
7;2;0;1;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
9;7;0;0;1;0;4;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0
10;10;0;1;2;0;4;1;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0
11;3;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
