1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
1;103;4;1;1;15;0;20;20;0;2;16;2;13;0;2;0;4;0;3;4;6;3;4;3;0;1;10;6;7;16;3;2;0;0;8;0;0;0;0;0;2;30;5;0;9;0;2;1;0;0;0;3;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
2;4;2;1;0;0;5;1;8;0;1;45;1;0;1;1;0;5;0;0;1;2;20;1;3;0;0;0;1;0;2;0;1;3;4;2;2;0;0;0;3;5;2;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;11;2;17;1;6;1;17;10;0;1;16;1;13;0;0;0;2;0;4;2;1;2;0;3;0;0;13;80;2;0;3;0;1;0;2;1;0;0;0;0;1;0;5;13;0;0;1;1;1;10;0;0;0;0;0;4;5;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4;1;0;1;1;0;3;4;1;0;0;0;3;15;0;0;0;0;0;0;0;1;0;2;0;0;0;0;5;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;2;0;0;0;1;1;0;4;1;0;2;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;7;0;0;0;0;5;0;6;0;0;0;3;0;1;0;0;0;0;20;0;2;0;1;0;0;0;8;2;0;1;0;0;1;2;0;0;0;0;0;0;1;2;3;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;25;3;4;0;0;12;108;28;0;1;1;4;80;5;1;0;0;0;0;8;12;0;1;4;0;10;1;16;13;5;7;0;3;6;7;1;0;2;1;1;7;6;8;0;1;1;0;0;7;4;0;0;0;0;0;4;0;0;0;1;0;1;0;1;0;1;2;0;1;0;0;0;1;0;3;0;1;0;0;1;0;1;0;0;2;0;0;1;0;4;2;0;0;0;2;2;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
8;14;15;2;5;12;5;26;100;3;4;27;18;19;2;4;0;3;1;5;25;2;7;5;0;0;3;4;18;4;4;1;2;1;5;2;12;0;0;0;13;9;3;0;4;0;4;1;0;1;2;0;1;0;0;0;10;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;2;1;2;2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0
9;6;3;0;0;0;1;1;5;2;0;3;0;4;0;1;0;2;0;0;2;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;6;52;12;11;0;0;12;1;16;0;1;0;4;5;1;4;2;1;0;3;0;2;7;0;2;0;1;2;3;24;0;1;0;4;0;0;2;0;8;0;0;5;1;1;3;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;5;0;2;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
11;7;3;1;0;0;1;0;14;0;0;47;4;1;0;0;0;10;0;0;1;3;1;2;2;0;0;0;7;0;0;0;0;0;3;0;1;0;0;0;1;1;2;2;0;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;8;0;0;4;6;5;9;0;0;0;14;0;15;1;0;0;0;0;1;0;0;2;2;20;0;3;6;3;0;2;5;0;15;2;1;0;0;0;5;0;0;5;46;1;1;2;3;1;2;0;0;0;0;0;0;0;0;0;1;0;0;4;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
