1;2;3;4;5;6;7;8;9;10
1;11;27;8;0;4;0;0;0;1;0
2;2;14;5;1;3;0;0;0;0;0
3;2;9;7;2;1;0;0;0;0;0
4;21;84;59;5;10;1;0;0;0;0
5;6;21;18;0;5;0;1;0;0;0
6;5;16;9;1;1;0;0;0;0;0
7;3;8;2;0;1;0;0;0;0;0
8;4;22;8;0;2;0;0;0;0;0
9;2;12;8;0;1;0;0;0;0;0
10;1;5;3;1;0;0;0;0;0;0
11;0;3;1;0;0;0;0;0;0;0
12;6;6;6;0;0;0;0;0;0;0
13;4;10;6;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;1;0;0
15;0;0;1;0;0;0;0;0;0;0
16;0;0;1;0;0;0;0;0;0;0
17;0;0;0;0;1;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0
19;0;3;0;0;0;0;0;0;0;0
20;0;0;1;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;1
22;0;0;0;0;1;0;0;0;0;0
23;0;1;0;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0;0;0
25;0;0;1;0;0;0;0;0;0;0
26;0;1;0;0;0;0;0;0;0;0
