1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
1;5;0;0;0;1;1;2;0;0;2;0;0;0;2;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;49;5;1;2;54;25;22;1;4;4;0;0;6;12;0;6;4;4;0;0;30;0;0;6;2;5;1;1;2;0;5;2;0;2;0;1;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;138;13;8;2;80;74;28;1;12;2;0;8;0;30;2;15;24;10;0;9;70;3;0;12;2;10;1;9;3;0;7;0;2;13;0;2;5;0;1;4;1;1;1;3;5;0;0;1;0;0;4;2;1;0;0;3;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
4;2;0;1;0;6;2;1;0;0;0;0;0;0;2;1;0;2;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;23;2;1;1;20;11;2;0;1;1;0;2;1;3;1;1;6;1;0;1;9;0;0;0;1;2;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;77;3;3;1;46;34;16;1;5;0;1;5;3;10;1;6;15;4;2;4;30;1;0;6;1;8;2;0;2;0;8;0;1;4;0;1;6;1;0;1;0;1;0;1;3;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
7;8;1;0;0;4;6;1;0;1;0;0;0;1;2;1;1;1;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;26;4;5;2;19;16;4;0;0;1;0;2;3;8;1;1;7;1;0;1;13;0;0;8;0;1;0;1;3;0;1;2;0;3;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
9;1;0;0;0;2;0;0;1;1;1;0;0;0;0;0;2;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;13;0;0;0;5;7;2;0;1;1;0;1;0;1;0;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;28;1;2;1;15;13;6;0;2;2;0;2;0;3;2;1;7;4;0;1;15;0;0;1;1;3;0;1;3;0;2;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
