1;2;3;4;5;6;7;8;9;10;11;12
1;8;4;0;8;1;0;3;1;0;0;0;0
2;8;9;2;23;1;0;0;5;3;0;0;0
3;4;4;0;4;1;0;0;0;0;0;0;0
4;20;17;6;34;5;4;6;7;6;1;0;0
5;7;18;3;26;2;0;7;9;1;0;1;0
6;0;1;0;0;0;0;0;0;0;0;0;0
7;3;1;0;6;0;0;0;0;1;0;0;0
8;0;3;0;7;3;0;0;0;2;0;0;0
9;3;4;0;3;0;0;0;1;0;0;0;0
10;8;10;3;18;2;0;2;5;3;0;0;1
11;1;0;0;1;0;0;0;2;1;0;0;0
12;11;14;0;20;1;2;1;1;2;0;0;0
13;0;0;0;1;0;0;0;0;0;0;0;0
14;5;4;0;9;1;2;2;2;2;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0
16;2;3;0;6;0;0;1;4;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0
18;3;1;0;5;1;0;2;2;1;0;0;0
19;0;0;0;0;1;0;0;0;0;0;0;0
20;1;2;1;1;0;0;1;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;1;0;0;0;0;0
23;0;0;0;1;0;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0;0;0;0;0
25;0;0;0;1;0;0;0;0;0;0;0;0
26;0;0;0;1;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;1;0;0;0;0;0
28;1;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;1;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;1;0;0;0;0
31;0;0;0;0;0;0;1;0;0;0;0;0
32;0;1;0;0;0;0;0;0;0;0;0;0
33;0;1;0;0;0;0;0;0;0;0;0;0
34;0;0;0;1;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;0;1;0;0;0
36;0;0;0;1;0;0;0;0;0;0;0;0
