1;2;3;4;5;6;7;8;9;10;11;12;13
1;28;24;18;4;3;0;0;0;0;0;0;0;0
2;56;53;24;10;1;2;0;0;0;0;1;0;0
3;9;13;5;4;2;0;0;0;0;1;0;0;0
4;7;6;5;0;1;0;0;1;0;0;0;0;0
5;8;4;3;1;2;0;1;0;0;0;0;1;0
6;6;6;5;0;1;0;0;0;0;0;0;0;0
7;6;5;5;0;0;0;0;0;0;0;0;0;0
8;18;15;10;3;1;0;0;0;1;0;0;0;0
9;1;0;0;0;0;0;0;0;0;0;0;0;0
10;2;0;0;0;0;0;0;0;0;0;0;0;0
11;1;3;4;0;0;0;0;0;0;0;0;0;0
12;13;6;3;0;0;1;0;0;0;0;0;0;0
13;0;1;0;0;0;0;0;0;0;0;0;0;0
14;5;1;1;1;0;0;0;0;0;0;0;0;0
15;7;5;2;0;1;0;0;0;0;0;0;0;0
16;5;8;4;1;0;0;0;0;0;0;0;0;0
17;2;1;3;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0
20;2;3;2;1;1;0;0;0;0;0;0;0;0
21;1;2;2;0;0;1;0;0;0;0;0;0;0
22;1;0;4;0;0;0;0;0;0;0;0;0;0
23;0;0;1;0;0;0;0;0;0;0;0;0;0
24;3;0;0;0;0;0;0;0;0;0;0;0;0
25;2;2;3;0;0;0;0;0;0;0;0;0;1
26;1;1;0;0;0;0;0;0;0;0;0;0;0
27;0;1;0;0;0;0;0;0;0;0;0;0;0
28;0;1;0;0;0;0;0;0;0;0;0;0;0
