1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109
1;9;26;17;9;4;3;3;7;4;25;9;1;23;5;6;15;16;8;32;1;6;0;1;10;5;0;2;33;4;7;2;0;7;2;11;2;10;3;0;1;0;10;0;1;7;0;2;0;2;0;1;0;0;1;0;0;2;0;0;1;1;1;1;1;0;0;0;2;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;3;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
2;1;13;6;1;2;1;0;0;6;11;5;1;10;3;1;5;7;4;13;0;1;0;2;5;1;1;0;6;4;0;6;0;1;0;6;0;5;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;10;6;1;0;2;0;7;2;6;8;0;8;2;2;6;13;2;14;0;2;0;0;6;4;0;0;7;2;3;1;0;3;0;4;1;2;1;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;11;45;25;9;7;5;5;6;12;36;12;5;36;7;11;16;22;4;50;0;2;2;4;21;14;1;3;39;4;5;11;0;7;0;7;1;20;5;0;0;5;0;0;0;2;1;2;0;0;2;0;1;0;3;0;5;1;0;1;0;0;1;0;1;1;0;3;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0
5;1;6;1;1;0;1;0;2;1;2;3;0;0;1;0;1;2;2;8;0;1;0;2;2;0;0;0;4;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;24;15;8;4;2;1;5;1;28;12;2;16;7;6;14;12;10;28;0;5;1;0;10;6;2;2;22;2;6;4;2;3;0;7;2;5;3;0;0;1;7;2;1;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;4;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;3;15;5;3;2;1;0;4;0;11;5;2;10;4;3;4;5;1;16;0;2;3;0;3;4;0;1;12;0;2;4;0;2;0;2;0;6;1;0;0;0;2;0;1;2;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8;4;16;8;5;1;0;2;9;1;13;4;2;17;4;7;18;4;5;22;0;1;1;2;10;2;1;0;23;5;5;8;0;7;0;6;1;3;3;0;0;1;0;0;1;1;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;2;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;3;1;1;1;0;0;0;0;0;2;0;1;0;0;1;1;0;3;0;1;0;0;0;1;0;0;6;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
