1;2;3;4;5;6;7;8;9
1;2;0;6;10;6;3;0;0;0
2;2;3;25;53;19;7;1;0;0
3;1;1;7;11;3;1;0;0;0
4;1;0;5;12;2;1;0;0;0
5;4;1;2;17;2;2;0;0;0
6;0;0;4;9;1;1;0;0;0
7;1;0;3;3;0;0;0;1;0
8;2;0;9;5;7;1;0;0;0
9;0;0;3;1;2;1;0;0;0
10;0;0;2;2;1;0;0;0;0
11;0;0;0;1;0;0;0;0;0
12;1;1;8;10;2;3;0;0;0
13;0;0;3;0;0;0;0;0;0
14;0;0;5;3;1;0;0;0;0
15;1;0;5;7;5;1;0;0;0
16;0;1;1;4;2;1;0;0;0
17;0;0;2;4;1;1;0;0;0
18;1;1;1;8;0;1;0;0;0
19;1;0;3;6;5;1;0;0;0
20;0;0;0;4;3;0;0;0;0
21;0;0;3;4;0;0;0;0;0
22;3;0;6;11;4;2;0;0;0
23;0;0;1;8;0;1;0;0;0
24;0;0;1;2;1;0;0;0;0
25;0;0;1;2;0;1;0;0;0
26;0;0;0;2;2;0;0;0;0
27;0;0;1;0;0;0;0;0;0
28;1;0;4;5;3;1;0;0;0
29;1;0;2;4;1;0;0;0;0
30;0;0;5;3;1;0;0;0;0
31;1;1;1;6;0;0;0;0;0
32;0;0;2;4;2;1;0;0;1
33;0;1;0;0;0;0;0;0;0
34;0;0;1;2;0;0;0;0;0
35;0;1;2;2;1;0;0;0;0
36;0;0;0;1;0;0;0;0;0
37;0;0;0;0;0;1;0;0;0
38;0;0;0;1;0;0;0;0;0
39;0;0;0;1;0;0;0;0;0
40;0;0;0;0;1;0;0;0;0
41;0;0;0;0;1;0;0;0;0
