1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113
1;17;14;29;38;4;1;17;3;11;6;5;1;10;8;5;5;2;4;13;2;4;8;14;0;0;1;3;1;5;2;1;3;2;1;0;1;8;2;1;5;0;1;0;1;0;1;1;0;0;1;0;1;1;3;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2;7;4;9;15;1;2;5;4;6;1;4;0;3;2;1;3;0;2;4;1;0;2;5;0;0;0;3;0;2;2;0;0;0;0;0;3;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3;4;4;4;10;0;0;3;2;1;0;1;0;1;1;2;2;0;0;5;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;11;3;9;13;3;0;7;1;6;1;1;0;2;1;4;6;1;0;10;2;1;0;3;0;0;0;1;1;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;1;3;4;1;0;2;1;2;0;1;0;3;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;15;12;31;50;4;3;26;5;15;2;8;7;13;6;5;11;2;4;21;1;10;6;12;0;1;1;5;5;4;5;0;1;1;0;0;2;2;2;2;1;0;0;5;0;0;0;1;0;1;1;0;1;0;2;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7;2;3;8;7;1;1;3;0;5;2;5;1;1;0;0;2;0;1;8;0;1;1;1;0;0;1;2;3;2;0;1;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;3;1;10;10;1;0;3;1;3;1;0;0;4;0;0;0;0;0;5;1;2;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
9;4;3;11;13;3;0;8;4;8;1;2;1;5;0;0;2;0;2;7;0;2;0;2;0;0;1;2;1;3;1;0;2;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10;13;3;16;25;1;1;11;6;7;1;1;1;7;3;2;3;0;2;9;1;4;3;0;0;0;0;5;3;1;2;1;1;1;1;0;0;2;1;1;1;0;0;2;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
