1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63
1;3;0;0;1;0;0;1;32;2;3;0;1;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;7;1;0;1;1;0;1;7;3;8;0;14;9;0;24;3;3;0;0;0;0;0;11;1;3;2;2;0;19;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0
3;3;0;1;0;0;0;0;3;1;2;0;1;3;0;0;0;1;0;1;0;0;0;0;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;1;8;1;1;9;0;11;6;9;2;2;7;0;3;2;27;3;4;1;3;1;0;4;2;3;6;4;2;0;0;1;0;0;4;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
5;0;0;0;0;19;0;0;3;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;4;0;2;11;0;2;0;11;3;3;1;2;57;0;3;0;2;2;1;0;0;2;2;2;2;1;1;1;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;3;0;1;2;0;2;0;0;7;4;0;0;1;0;3;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;2;0;0;0;0;0;0;0;8;0;2;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
